179	183
359	368
534	559
616	791
620	1049
762	1260
636	1480
652	1734
718	1946
673	2196
794	2420
1027	2518
1270	2450
1419	2245
1409	1991
1352	1773
1479	1578
1668	1752
1801	1972
1849	2226
2015	2419
2260	2487
2494	2574
2564	2805
2583	3061
2744	3257
2991	3319
3243	3301
3446	3460
3634	3637
